------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  4] local 10.0.0.1 port 5001 connected with 10.0.0.4 port 45563
[ ID] Interval       Transfer     Bandwidth
[  4]  0.0- 0.5 sec   310 KBytes  5.07 Mbits/sec
[  4]  0.5- 1.0 sec   204 KBytes  3.34 Mbits/sec
[  4]  1.0- 1.5 sec   212 KBytes  3.48 Mbits/sec
[  4]  1.5- 2.0 sec   201 KBytes  3.29 Mbits/sec
[  4]  2.0- 2.5 sec   238 KBytes  3.89 Mbits/sec
[  4]  2.5- 3.0 sec   209 KBytes  3.43 Mbits/sec
[  4]  3.0- 3.5 sec   187 KBytes  3.06 Mbits/sec
[  4]  3.5- 4.0 sec   235 KBytes  3.85 Mbits/sec
[  4]  4.0- 4.5 sec   226 KBytes  3.71 Mbits/sec
[  4]  4.5- 5.0 sec   204 KBytes  3.34 Mbits/sec
[  4]  5.0- 5.5 sec   178 KBytes  2.92 Mbits/sec
[  4]  5.5- 6.0 sec   246 KBytes  4.03 Mbits/sec
[  4]  6.0- 6.5 sec   173 KBytes  2.83 Mbits/sec
[  4]  6.5- 7.0 sec   232 KBytes  3.80 Mbits/sec
[  4]  7.0- 7.5 sec   195 KBytes  3.20 Mbits/sec
[  4]  7.5- 8.0 sec   195 KBytes  3.20 Mbits/sec
[  4]  8.0- 8.5 sec   243 KBytes  3.98 Mbits/sec
[  4]  8.5- 9.0 sec   144 KBytes  2.36 Mbits/sec
[  4]  9.0- 9.5 sec   215 KBytes  3.52 Mbits/sec
[  4]  9.5-10.0 sec   141 KBytes  2.32 Mbits/sec
[  4] 10.0-10.5 sec   266 KBytes  4.36 Mbits/sec
[  4] 10.5-11.0 sec   178 KBytes  2.92 Mbits/sec
[  4] 11.0-11.5 sec   291 KBytes  4.77 Mbits/sec
[  4] 11.5-12.0 sec  73.5 KBytes  1.20 Mbits/sec
[  4] 12.0-12.5 sec   189 KBytes  3.10 Mbits/sec
[  4] 12.5-13.0 sec   368 KBytes  6.02 Mbits/sec
[  4] 13.0-13.5 sec  45.2 KBytes   741 Kbits/sec
[  4] 13.5-14.0 sec   280 KBytes  4.59 Mbits/sec
[  4] 14.0-14.5 sec  45.2 KBytes   741 Kbits/sec
[  4] 14.5-15.0 sec   472 KBytes  7.74 Mbits/sec
[  4] 15.0-15.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 15.5-16.0 sec   348 KBytes  5.70 Mbits/sec
[  4] 16.0-16.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 16.5-17.0 sec   368 KBytes  6.02 Mbits/sec
[  4] 17.0-17.5 sec   280 KBytes  4.59 Mbits/sec
[  4] 17.5-18.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 18.0-18.5 sec  5.66 KBytes  92.7 Kbits/sec
[  4] 18.5-19.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 19.0-19.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 19.5-20.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 20.0-20.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 20.5-21.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 21.0-21.5 sec  0.00 Bytes  0.00 bits/sec
[  4] 21.5-22.0 sec  0.00 Bytes  0.00 bits/sec
[  4] 22.0-22.5 sec  0.00 Bytes  0.00 bits/sec
